number;value;datetime_start;datetime_complete;duration;params_alpha;params_beta;params_evaporation_rate;params_num_ants;params_num_iterations;state
10;0.4216666666666667;2024-06-30 21:25:32.854885;2024-06-30 21:35:35.665667;0 days 00:10:02.810782;1.1334248212076907;4.8205793161664525;0.8871169883362608;97;155;COMPLETE
11;0.42;2024-06-30 21:35:35.667573;2024-06-30 21:42:50.293310;0 days 00:07:14.625737;0.5177302928329837;4.134518484596067;0.6308299824018856;91;119;COMPLETE
12;0.4116666666666667;2024-06-30 21:42:50.295951;2024-06-30 21:44:56.491194;0 days 00:02:06.195243;0.9810123234314165;4.28699250251686;0.8952046472757862;61;51;COMPLETE
13;0.43;2024-06-30 21:44:56.496911;2024-06-30 21:46:38.667319;0 days 00:01:42.170408;1.1510712268232666;4.289856202403852;0.8780871391114339;48;51;COMPLETE
14;0.4025;2024-06-30 21:46:38.670053;2024-06-30 21:49:24.521085;0 days 00:02:45.851032;1.0017145184597183;4.157908265277858;0.717539209904057;58;70;COMPLETE
15;0.43;2024-06-30 21:49:24.524496;2024-06-30 21:51:15.318262;0 days 00:01:50.793766;1.3569982206657905;3.9694392049814273;0.723864714989227;54;50;COMPLETE
16;0.4241666666666667;2024-06-30 21:51:15.321640;2024-06-30 21:57:50.803841;0 days 00:06:35.482201;0.9189939201669776;1.9662197319213583;0.7682504306417545;63;160;COMPLETE
17;0.42583333333333334;2024-06-30 21:57:50.808382;2024-06-30 21:59:46.923563;0 days 00:01:56.115181;1.4922800976465649;4.390186488708082;0.6123056011425922;41;71;COMPLETE
18;0.42;2024-06-30 21:59:46.925682;2024-06-30 22:03:49.691774;0 days 00:04:02.766092;1.5380165409082498;3.756623291939448;0.7563778025493537;58;106;COMPLETE
19;0.4116666666666667;2024-06-30 22:03:49.693829;2024-06-30 22:11:29.506676;0 days 00:07:39.812847;0.9218166189444703;1.0439567569750845;0.5683200850516896;80;149;COMPLETE
20;0.455;2024-06-30 22:11:29.508771;2024-06-30 22:13:14.794529;0 days 00:01:45.285758;2.176362856512216;4.398097492290283;0.8030163739383746;42;63;COMPLETE
21;0.41;2024-06-30 22:13:14.796814;2024-06-30 22:19:49.592304;0 days 00:06:34.795490;0.8868106763205024;1.1259309906544481;0.5615593391117423;73;140;COMPLETE
22;0.4025;2024-06-30 22:19:49.594685;2024-06-30 22:25:26.736295;0 days 00:05:37.141610;0.8617750354947239;1.3914593952270073;0.5474142208838879;61;140;COMPLETE
23;0.4141666666666667;2024-06-30 22:25:26.738485;2024-06-30 22:32:20.557439;0 days 00:06:53.818954;0.8188661259313526;1.0760362651887831;0.5348694051090503;76;140;COMPLETE
24;0.4116666666666667;2024-06-30 22:32:20.559687;2024-06-30 22:39:36.628770;0 days 00:07:16.069083;1.0479450458918316;1.5774402241861316;0.40961886401122527;66;170;COMPLETE
25;0.4225;2024-06-30 22:39:36.631079;2024-06-30 22:44:46.731271;0 days 00:05:10.100192;1.3727599183232493;1.3934259852090334;0.6894554999214544;56;141;COMPLETE
26;0.42083333333333334;2024-06-30 22:44:46.734795;2024-06-30 22:52:47.639839;0 days 00:08:00.905044;1.5789359110410712;1.9742720611829516;0.5724654226972935;73;170;COMPLETE
27;0.405;2024-06-30 22:52:47.643208;2024-06-30 22:57:10.173376;0 days 00:04:22.530168;0.7525733102572567;2.45153016720362;0.5184919418842308;49;135;COMPLETE
28;0.43166666666666664;2024-06-30 22:57:10.177329;2024-06-30 23:00:29.414734;0 days 00:03:19.237405;2.9905634610131133;2.8876515088066643;0.3683659691433314;44;113;COMPLETE
29;0.42;2024-06-30 23:00:29.417029;2024-06-30 23:06:32.215912;0 days 00:06:02.798883;0.7265019190414042;2.3880954152180056;0.5095370974981654;51;180;COMPLETE
30;0.4266666666666667;2024-06-30 23:06:32.218166;2024-06-30 23:10:38.236370;0 days 00:04:06.018204;2.140798524766157;2.3807706882976514;0.4693006475695917;48;131;COMPLETE
31;0.4141666666666667;2024-06-30 23:10:38.238237;2024-06-30 23:15:53.123141;0 days 00:05:14.884904;0.8387030975237171;1.391911126015841;0.6323496350739707;62;130;COMPLETE
32;0.42083333333333334;2024-06-30 23:15:53.126070;2024-06-30 23:20:48.146854;0 days 00:04:55.020784;0.5832358913040884;1.7366495065131762;0.5558494913971246;53;142;COMPLETE
33;0.405;2024-06-30 23:20:48.149123;2024-06-30 23:25:52.718143;0 days 00:05:04.569020;1.0276996467651855;1.2972332672193603;0.5939893436866489;58;135;COMPLETE
34;0.4325;2024-06-30 23:25:52.720117;2024-06-30 23:29:59.448801;0 days 00:04:06.728684;1.301144727244579;2.089526472527662;0.7058518129146886;58;110;COMPLETE
35;0.4116666666666667;2024-06-30 23:29:59.455185;2024-06-30 23:32:58.073095;0 days 00:02:58.617910;1.0890096610246829;2.6200538809793468;0.6573916448016859;34;130;COMPLETE
36;0.4325;2024-06-30 23:32:58.075443;2024-06-30 23:36:47.821485;0 days 00:03:49.746042;1.230944641770649;1.405668109115405;0.6048042743413055;38;151;COMPLETE
37;0.42083333333333334;2024-06-30 23:36:47.823803;2024-06-30 23:39:29.034753;0 days 00:02:41.210950;0.7055293832974876;2.1880279615187224;0.42037405622820123;47;87;COMPLETE
38;0.41833333333333333;2024-06-30 23:39:29.036650;2024-06-30 23:41:47.274233;0 days 00:02:18.237583;1.0069398560020288;1.7258544797378024;0.4836457500191549;20;165;COMPLETE
39;0.4166666666666667;2024-06-30 23:41:47.276474;2024-06-30 23:47:10.065058;0 days 00:05:22.788584;0.5083221917703109;2.9829162452626092;0.5137499985967875;67;124;COMPLETE
40;0.43583333333333335;2024-06-30 23:47:10.073234;2024-06-30 23:54:37.086563;0 days 00:07:27.013329;1.9264992662575098;3.400634437835968;0.4112456878231401;64;181;COMPLETE
41;0.42;2024-06-30 23:54:37.088814;2024-07-01 00:01:01.947498;0 days 00:06:24.858684;0.7880190635257001;1.2075931424605593;0.589042770471027;71;141;COMPLETE
42;0.40166666666666667;2024-07-01 00:01:01.949470;2024-07-01 00:06:05.055576;0 days 00:05:03.106106;0.8812899911986412;1.2107849139232842;0.8181636433351727;59;133;COMPLETE
43;0.4216666666666667;2024-07-01 00:06:05.058344;2024-07-01 00:10:21.661534;0 days 00:04:16.603190;0.6426140959734903;1.2863975750021484;0.8066950788093578;55;119;COMPLETE
44;0.43166666666666664;2024-07-01 00:10:21.663381;2024-07-01 00:14:16.082053;0 days 00:03:54.418672;1.1376858759148494;1.6376326004506536;0.8184547489400937;60;101;COMPLETE
45;0.43;2024-07-01 00:14:16.084304;2024-07-01 00:16:44.926089;0 days 00:02:28.841785;0.9916144129670761;3.2168650446196545;0.7408472696225467;27;134;COMPLETE
46;0.42333333333333334;2024-07-01 00:16:44.928235;2024-07-01 00:20:38.948326;0 days 00:03:54.020091;0.7652410013510159;1.5253494274926964;0.8356763557516627;51;118;COMPLETE
47;0.43833333333333335;2024-07-01 00:20:38.951708;2024-07-01 00:25:00.982720;0 days 00:04:22.031012;1.4298758582815696;3.616973433323522;0.6926021213570847;45;148;COMPLETE
48;0.4091666666666667;2024-07-01 00:25:00.984570;2024-07-01 00:31:00.750934;0 days 00:05:59.766364;1.2227223424705917;1.903777594318016;0.6618901444994358;58;159;COMPLETE
49;0.4083333333333333;2024-07-01 00:31:00.752818;2024-07-01 00:36:18.562364;0 days 00:05:17.809546;0.6396644341916279;2.2570354176103953;0.6361789718062987;65;126;COMPLETE
